"Add new Postcode","Adicionar novo CEP"
"City","Cidade"
"Complement","Complemento"
"Could not delete the Postcode: %1","Não foi possível excluir o CEP: %1"
"Delete Postcode","Excluir CEP"
"Edit Postcode","Editar CEP"
"Edit Postcode %1", "Editar CEP %1"
"IBGE","IBGE"
"Neighborhood","Bairro"
"New Postcode","Novo CEP"
"Postcode","CEP"
"Postcode not found","CEP não encontrado"
"Postcode with id '%1' does not exist.","O CEP com id '%1' não existe."
"Region","Estado"
"Save Postcode","Salvar CEP"
"Something went wrong while saving the Postcode.","Algo errado aconteceu ao tentar salvar o CEP."
"Street","Rua"
"This Postcode no longer exists.","O CEP não existe mais"
"You deleted the Postcode.","CEP excluído."
"You saved the Postcode.","CEP salvo"
"We can't find a Postcode to delete.","Não foi possível encontrar o CEP para excluir."
